symbol,accuracy
FORTH_USD,0.7878787878787878
FUN1_USD,0.5476190476190477
FOX_USD,0.6339869281045751
GHST_USD,0.7003257328990228
GFI_USD,0.748006379585327
GIGA_USD,0.6893617021276596
GMT_USD,0.7247023809523809
GNO_USD,0.7073170731707317
GLM_USD,0.6901615271659325
GODS_USD,0.7725806451612903
GRT_USD,0.720532319391635
GST_USD,0.7411504424778761
GTC_USD,0.7620689655172413
HIGH_USD,0.7656012176560122
HBAR_USD,0.8166666666666667
HFT_USD,0.7635135135135135
HOME_USD,0.6549165120593692
G_USD,0.7124645892351275
HONEY_USD,0.5681818181818182
HOPR_USD,0.8117229129662522
HYPER_USD,0.7185185185185186
HYPE_USD,0.7063492063492064
ICP_USD,0.6691394658753709
00_USD,0.616822429906542
1INCH_USD,0.6161137440758294
IDEX_USD,0.7421875
IMU_USD,0.5578231292517006
ILV_USD,0.7654516640253566
2Z_USD,0.6604395604395604
IMX_USD,0.7173076923076923
A8_USD,0.6883963494132985
AAVE_USD,0.7368421052631579
ABT_USD,0.6446540880503144
ACH_USD,0.7313585291113381
ACS_USD,0.7280334728033473
ACX_USD,0.726215644820296
ADA_USD,0.7221711131554738
AERGO_USD,0.778836987607245
AGLD_USD,0.685374149659864
AERO_USD,0.7198404785643071
AIOZ_USD,0.7035490605427975
AKT_USD,0.7121046892039259
ALEO_USD,0.708029197080292
ALCX_USD,0.699642431466031
ALEPH_USD,0.6613119143239625
ALGO_USD,0.7729296527159395
ALICE_USD,0.6542893725992317
ALLO_USD,0.6192259675405742
ALT_USD,0.7248394004282656
AMP_USD,0.7416798732171157
ANKR_USD,0.7375643224699828
APE_USD,0.7023593466424682
API3_USD,0.7048872180451128
APR_USD,0.6279527559055118
APT_USD,0.6753986332574032
ARB_USD,0.7231869254341164
ARKM_USD,0.6644951140065146
ARPA_USD,0.7440476190476191
ASM_USD,0.6855941114616193
AST_USD,0.6245901639344262
ASTER_USD,0.7337593184238551
ATH_USD,0.6709677419354839
ATOM_USD,0.7537091988130564
AUCTION_USD,0.7270992366412213
AUDIO_USD,0.7602409638554217
AURORA_USD,0.8016967126193001
AVAX_USD,0.8096539162112932
AVNT_USD,0.6943620178041543
AVT_USD,0.5583596214511041
AWE_USD,0.6896551724137931
AXL_USD,0.6772428884026258
AXS_USD,0.6753100338218715
B3_USD,0.6640625
BADGER_USD,0.688135593220339
BAL_USD,0.773972602739726
BAND_USD,0.717234262125903
BARD_USD,0.7448630136986302
BAT_USD,0.7047038327526133
BCH_USD,0.7737226277372263
BERA_USD,0.6697761194029851
BICO_USD,0.7377049180327869
BIGTIME_USD,0.6894639556377079
BIO_USD,0.6929637526652452
BIRB_USD,0.6240601503759399
BLAST_USD,0.6977491961414791
BLUR_USD,0.759825327510917
BNB_USD,0.8289592760180996
BLZ_USD,0.6390977443609023
BNKR_USD,0.614596670934699
BNT_USD,0.8273757628596339
BOBA_USD,0.7712707182320442
BOBBOB_USD,0.6310299869621904
BREV_USD,0.6682464454976303
BONK_USD,0.7095343680709535
BTRST_USD,0.621505376344086
BTC_USD,0.8218588640275387
C98_USD,0.6733416770963705
CAKE_USD,0.8317008014247551
CBETH_USD,0.8068283917340521
CFG_USD,0.596537949400799
CHZ_USD,0.6559734513274337
CGLD_USD,0.6753246753246753
CLANKER_USD,0.613965744400527
CLV_USD,0.46153846153846156
COOKIE_USD,0.6443298969072165
COMP_USD,0.7346311475409836
CORECHAIN_USD,0.7324106113033448
COSMOSDYDX_USD,0.6980023501762632
COW_USD,0.7291169451073986
CRO_USD,0.7814096016343207
COTI_USD,0.7226190476190476
CRV_USD,0.7061803444782169
CTSI_USD,0.7146371463714637
CTX_USD,0.8294314381270903
CVC_USD,0.7626546681664792
CVX_USD,0.6662636033857315
DBR_USD,0.7916120576671035
DASH_USD,0.6934984520123839
DEGEN_USD,0.7011331444759207
DIA_USD,0.7457627118644068
DEXT_USD,0.6939704209328783
DIMO_USD,0.6326923076923077
DNT_USD,0.6776429809358753
DOGINME_USD,0.6285714285714286
DOGE_USD,0.7875
DOLO_USD,0.7148337595907929
DOOD_USD,0.7077922077922078
DRIFT_USD,0.6115326251896813
DOT_USD,0.7527675276752768
EDGE_USD,0.6726973684210527
EIGEN_USD,0.6741071428571429
EGLD_USD,0.7434895833333334
ELSA_USD,0.6544117647058824
ELA_USD,0.6737588652482269
ENA_USD,0.7083839611178615
EOS_USD,0.7295081967213115
ENS_USD,0.745164960182025
ERA_USD,0.6831955922865014
ETC_USD,0.7663185378590078
ETHFI_USD,0.7088948787061995
EUL_USD,0.7166085946573751
ETH_USD,0.7992998833138857
FAI_USD,0.6646942800788954
FARTCOIN_USD,0.6329113924050633
FARM_USD,0.7717889908256881
FET_USD,0.7255520504731862
FIDA_USD,0.7272727272727273
FIGHT_USD,0.5595238095238095
FIL_USD,0.7112970711297071
FIS_USD,0.6178343949044586
FLOCK_USD,0.6485819975339088
